Doi,Title,Year,Type,Url,Authors,Topic,Subfield,Field,Domain,Cites,Cited_by,Keywords,Abstract
10.1145/3660319.3660329,Analysis and Evaluation of Load Management Strategies in a Decentralized FaaS Environment: A Simulation-Based Framework,2024,conference-paper,https://doi.org/10.1145/3660319.3660329,"0000-0002-6549-924X, 0009-0000-3682-6558, 0009-0008-0787-9456, 0009-0004-6579-4689, 0000-0002-8193-0597, 0000-0002-2480-966X",Cloud Computing and Big Data Technologies,Information Systems,Computer Science,Physical Sciences,14,0,"['Distributed Systems', 'DevOps', 'Virtualization', 'Log Analysis', 'Model-driven Performance Prediction']"
10.1145/3660319.3660331,Comparing Actor-Critic and Neuroevolution Approaches for Traffic Offloading in FaaS-powered Edge Systems,2024,conference-paper,https://doi.org/10.1145/3660319.3660331,"0000-0002-6549-924X, 0009-0004-6579-4689, 0009-0006-6821-3987, 0000-0002-8193-0597, 0000-0002-2480-966X",Memristive Devices for Neuromorphic Computing,Electrical and Electronic Engineering,Engineering,Physical Sciences,16,0,"['Neuroevolution', 'Edge Computing', 'Mobile Edge Computing', 'Neuromorphic Computing', 'Brain-inspired Computing']"
10.1109/TCC.2023.3336540,A Stochastic Approach for Scheduling AI Training Jobs in GPU-Based Systems,2023,journal-article,https://doi.org/10.1109/TCC.2023.3336540,"0000-0002-6549-924X, 0000-0001-5541-5631, 0000-0003-4224-927X, 0000-0001-9081-8401",Cloud Computing and Big Data Technologies,Information Systems,Computer Science,Physical Sciences,32,1,"['Large-Scale Optimization', 'Stochastic Gradient Descent', 'Deep Learning']"
10.1109/TCC.2023.3336540,A Stochastic Approach for Scheduling AI Training Jobs in GPU-Based Systems,2023,journal-article,,"0000-0002-6549-924X, 0000-0001-5541-5631, 0000-0003-4224-927X, 0000-0001-9081-8401",Cloud Computing and Big Data Technologies,Information Systems,Computer Science,Physical Sciences,32,1,"['Large-Scale Optimization', 'Stochastic Gradient Descent', 'Deep Learning']"
10.1145/3603166.3632565,FIGARO: reinForcement learnInG mAnagement acRoss the computing cOntinuum,2023,conference-paper,https://doi.org/10.1145/3603166.3632565,"0000-0002-6549-924X, 0000-0002-7581-5955, 0000-0003-4224-927X, 0000-0002-9470-8784, 0000-0001-8233-4570, 0000-0002-6870-7083, 0000-0002-7461-6276",Internet of Things and Edge Computing,Computer Networks and Communications,Computer Science,Physical Sciences,15,0,[]
10.1145/3603166.3632562,Runtime Management of Artificial Intelligence Applications for Smart Eyewears,2023,conference-paper,https://doi.org/10.1145/3603166.3632562,"0000-0002-6549-924X, 0009-0003-0221-0693, 0000-0002-6495-5717, 0000-0001-7508-9706, 0000-0003-4224-927X",Detection and Management of Retinal Diseases,"Radiology, Nuclear Medicine and Imaging",Medicine,Health Sciences,20,0,[]
10.1145/3603166.3632560,SPACE4AI-R: a Runtime Management Tool for AI Applications Component Placement and Resource Scaling in Computing Continua,2023,conference-paper,https://doi.org/10.1145/3603166.3632560,"0000-0002-6549-924X, 0000-0002-6495-5717, 0000-0003-4224-927X",Cloud Computing and Big Data Technologies,Information Systems,Computer Science,Physical Sciences,21,1,"['Component (thermodynamics)', 'Resource management (computing)']"
10.1109/TSC.2022.3188440,A Path Relinking Method for the Joint Online Scheduling and Capacity Allocation of DL Training Workloads in GPU as a Service Systems,2022,journal-article,https://doi.org/10.1109/TSC.2022.3188440,"0000-0002-6549-924X, 0000-0003-0062-6049, 0000-0002-2480-966X, 0000-0002-1868-8224, 0000-0003-4224-927X, 0000-0002-3553-2571",Distributed Coordination in Online Robotics Research,Computer Networks and Communications,Computer Science,Physical Sciences,30,3,"['Resource Allocation', 'Deep Learning', 'Large-Scale Optimization', 'Scalability']"
10.1109/TSC.2022.3188440,A Path Relinking Method for the Joint Online Scheduling and Capacity Allocation of DL Training Workloads in GPU as a Service Systems,2022,journal-article,,"0000-0002-6549-924X, 0000-0003-0062-6049, 0000-0002-2480-966X, 0000-0002-1868-8224, 0000-0003-4224-927X, 0000-0002-3553-2571",Distributed Coordination in Online Robotics Research,Computer Networks and Communications,Computer Science,Physical Sciences,30,3,"['Resource Allocation', 'Deep Learning', 'Large-Scale Optimization', 'Scalability']"
10.1145/3578245.3584941,OSCAR-P and aMLLibrary,2023,conference-paper,https://doi.org/10.1145/3578245.3584941,"0000-0002-6549-924X, 0009-0009-3553-1198, 0000-0002-1710-3466, 0000-0002-6495-5717, 0000-0003-4224-927X, 0000-0002-8049-253X, 0000-0001-9393-3077",Log Analysis and System Performance Diagnosis,Computer Networks and Communications,Computer Science,Physical Sciences,12,2,"['Profiling (computer programming)', 'Model-driven Performance Prediction', 'Performance Prediction']"
