,ORCID ID,ORCID_ID,Organization,Status,Role_Title,Start_Date,Keywords,Number_of_Works,Given_Name,Family_Name
0,0009-0009-8087-7067,0009-0009-8087-7067,Luxembourg Institute of Health,APPROVED,PhD student in Bioinformatics,2023,"Bioinformatics, scRNA-seq transcriptomics, Deconvolutional analysis, Machine learning, Network analysis",1,hamed,allahverdi
1,0000-0002-1421-3686,0000-0002-1421-3686,N/A,APPROVED,N/A,N/A,N/A,124,Paolo,Buono
2,0000-0002-4871-3734,0000-0002-4871-3734,N/A,APPROVED,N/A,N/A,N/A,3,Noura,EL MOUSSA
3,0000-0003-0191-8107,0000-0003-0191-8107,Imperial College London,APPROVED,Research Assistant in Verification of Neurosymbolic Learning,2023,N/A,6,Sherwin,Varghese
4,0000-0002-4561-5530,0000-0002-4561-5530,Microsoft Research,APPROVED,Principal Scientist,2024,N/A,7,Hui,Xue
5,0000-0001-6519-5011,0000-0001-6519-5011,N/A,APPROVED,N/A,N/A,N/A,0,THOMAS,CECCONELLO
6,0000-0001-8415-4688,0000-0001-8415-4688,N/A,APPROVED,N/A,N/A,N/A,32,Barbara,Di Camillo
7,0000-0002-4247-4365,0000-0002-4247-4365,Istituto di Ricerche Farmacologiche Mario Negri Centro Aldo e Cele Daccò,APPROVED,Postdoc,2023,N/A,13,Annamaria ,Morotti 
8,0000-0003-2612-4119,0000-0003-2612-4119,University of Milano-Bicocca,APPROVED,,N/A,N/A,144,Francesco,Bartoli
9,0000-0003-0919-1264,0000-0003-0919-1264,University College Hospital London,APPROVED,Doctor,2019,N/A,11,Christopher Andrew,Lovejoy
10,0000-0003-2718-7648,0000-0003-2718-7648,N/A,APPROVED,N/A,N/A,N/A,0,Markus,Plass
11,0000-0002-8793-1451,0000-0002-8793-1451,Universidade NOVA de Lisboa,APPROVED,,N/A,N/A,225,Mauro,Castelli
12,0000-0002-2184-5980,0000-0002-2184-5980,N/A,APPROVED,N/A,N/A,N/A,0,Joseph,Salvino
13,0000-0003-4732-3328,0000-0003-4732-3328,Universidade NOVA de Lisboa,APPROVED,,N/A,"Genetic Programming, Evolutionary Computation, Complex Systems",305,Leonardo,Vanneschi
14,0000-0002-7160-3541,0000-0002-7160-3541,N/A,APPROVED,N/A,N/A,N/A,1,Steven,Van Rossem
15,0000-0002-5648-0408,0000-0002-5648-0408,N/A,APPROVED,N/A,N/A,N/A,1,He,Zheng
16,0000-0003-1633-6310,0000-0003-1633-6310,N/A,APPROVED,N/A,N/A,N/A,27,DILETTA,FONTANA
17,0000-0002-4666-8052,0000-0002-4666-8052,The Open University,APPROVED,,N/A,N/A,165,Serena,Di Cosimo
18,0000-0001-5977-5546,0000-0001-5977-5546,N/A,APPROVED,N/A,N/A,N/A,297,MARIO,SCARTOZZI
19,0000-0001-6532-6464,0000-0001-6532-6464,Università degli Studi di Milano,APPROVED,Full professor,N/A,N/A,429,Chiarella,Sforza
20,0000-0002-9500-7971,0000-0002-9500-7971,N/A,APPROVED,N/A,N/A,N/A,7,PAMELA,VIGNOLINI
21,0000-0002-1341-2560,0000-0002-1341-2560,Politecnico di Milano,APPROVED,Adjunct Professor,2019,"Biomedical Engineering, Biomedical Devices, Signal Processing, e-Health, m-Health, Physiological Modeling, Mobile Applications, Hearing, Audiology, Tinnitus",164,Alessia,Paglialonga
22,0000-0003-4490-5947,0000-0003-4490-5947,SDU,APPROVED,,N/A,N/A,74,Richard,Roettger
23,0000-0002-5909-0165,0000-0002-5909-0165,Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico,APPROVED,Health Researcher,2020,"Neuroscience, Neurooncology, Brain tumors, Stem Cells, Angiogenesis, Translational Medicine",22,Laura,Guarnaccia
24,0000-0002-6534-1979,0000-0002-6534-1979,Open University of Catalonia,APPROVED,Tutor and Collaborator,2001,"Neurosciences, EEG, MRI, fMRI, DTI, Signal processing, Machine learning, Biometrics, Source separation, Independent Component Analysis, SCADA data, Failure detection",183,Jordi,Solé-Casals
25,0000-0002-8474-9435,0000-0002-8474-9435,"Chitkara University Institute of Engineering and Technology, Chitkara University",APPROVED,Associate Professor,2018,N/A,145,Shalli,Rani
26,0000-0003-2491-5267,0000-0003-2491-5267,Politecnico di Milano,APPROVED,Assistant professor,2022,"software engineering, formal methods",59,MATTEO,CAMILLI
27,0000-0001-7112-4607,0000-0001-7112-4607,St Bartholomew's Hospital,APPROVED,,N/A,N/A,37,Jessica,Artico
28,0000-0002-8049-253X,0000-0002-8049-253X,Universitat Politècnica de València,APPROVED,Full Professor,N/A,"Cloud Computing, Serverless Computing",84,Germán,Moltó
29,0000-0002-8721-4444,0000-0002-8721-4444,University of Yamanashi,APPROVED, Specially Appointed Associate Professor ,2023,N/A,153,Dominik,Köppl
30,0000-0002-1239-0662,0000-0002-1239-0662,Universiteit Leiden Mathematisch Instituut,APPROVED,Postdoctoral fellow,2017,"Data Science, Survival Analysis, Paediatric Oncology, Transportation",13,Carlo,Lancia
31,0000-0002-3056-4662,0000-0002-3056-4662,N/A,APPROVED,N/A,N/A,N/A,62,Esteban,Porrini
32,0000-0002-0009-8007,0000-0002-0009-8007,N/A,APPROVED,N/A,N/A,N/A,12,Mirko,Agarla
33,0000-0001-5432-7584,0000-0001-5432-7584,Universita' di Milano Bicocca,APPROVED,Dottorandi,2019,N/A,10,Stefano,Fiorini
34,0000-0003-1489-321X,0000-0003-1489-321X,University of Milano - Bicocca,APPROVED,Postdoctoral Researcher,2020,N/A,8,Davide,Ginelli
35,0000-0002-7105-7931,0000-0002-7105-7931,N/A,APPROVED,N/A,N/A,N/A,65,Husam,Abdel-Qadir
36,0000-0003-0669-5723,0000-0003-0669-5723,N/A,APPROVED,N/A,N/A,N/A,0,Francesco,Gallo
37,0000-0001-5170-4479,0000-0001-5170-4479,N/A,APPROVED,N/A,N/A,N/A,0,Paolo ,Avogadro
38,0000-0002-3781-6770,0000-0002-3781-6770,N/A,APPROVED,N/A,N/A,N/A,50,Riccardo,Vago
39,0000-0002-0027-5157,0000-0002-0027-5157,Istituto Ortopedico Galeazzi,APPROVED,Post-doc Researcher,2022,N/A,68,ANDREA,CAMPAGNER
40,0000-0001-9011-7031,0000-0001-9011-7031,Thomas Jefferson University,APPROVED,Prof,2010,N/A,156,Lucia,Languino
41,0000-0003-0062-6049,0000-0003-0062-6049,STMicroelectronics,APPROVED,,2020,N/A,41,Marco,Lattuada
42,0000-0002-4907-0427,0000-0002-4907-0427,University of Illinois Urbana-Champaign,APPROVED,Health Innovation Professor,2021,N/A,30,Mehmet Eren,Ahsen
43,0000-0001-9402-7439,0000-0001-9402-7439,University of Milano-Bicocca,APPROVED,"Senior Professor of Cardiovascular Medicine, past Director of the School of Specialization in Cardiovascular Diseases",2021,N/A,1213,Gianfranco,Parati
44,0000-0001-5047-1108,0000-0001-5047-1108,University of Roehampton,APPROVED,,N/A,N/A,99,Muneer,Ahmad
45,0000-0003-1997-2910,0000-0003-1997-2910,N/A,APPROVED,N/A,N/A,"Remote sensing, Image forensics, Compressed sensing, Graph neural networks",43,DIEGO,VALSESIA
46,0000-0003-3929-8409,0000-0003-3929-8409,N/A,APPROVED,N/A,N/A,N/A,3,Simone Giuseppe,Locatelli
47,0000-0002-4117-7991,0000-0002-4117-7991,IRCCS Humanitas Research Hospital,APPROVED,Capo Sezione Terapia Cellulare ,N/A,N/A,105,Stefania,Bramanti
48,0009-0009-1780-8501,0009-0009-1780-8501,Rhine-Waal University of Applied Sciences,APPROVED,Professor for Operating and Distributed Information Systems,2023,"Communication Networks, Distributed Systems, Micro-Services, Smart Cities",42,Patrick-Benjamin,Bök
49,0000-0002-1215-8038,0000-0002-1215-8038,University of Illinois at Urbana-Champaign,APPROVED,Graduate Research Assistant,2014,N/A,4,Jinfeng,Xiao
50,0000-0002-4749-7929,0000-0002-4749-7929,"Policlinico ""G. Rodolico-S. Marco"" University Hospital",APPROVED,MD,2023,N/A,54,Giulio,Bonomo
51,0000-0002-7428-0522,0000-0002-7428-0522,N/A,APPROVED,N/A,N/A,N/A,8,Marzia,Di Filippo
52,0000-0002-0358-1854,0000-0002-0358-1854,N/A,APPROVED,N/A,N/A,N/A,0,Silvia,Terragni
53,0000-0003-4013-5834,0000-0003-4013-5834,N/A,APPROVED,N/A,N/A,N/A,5,Mourad,ZAIED
54,0000-0002-2009-4660,0000-0002-2009-4660,University Health Network,APPROVED,Post-doctoral fellow,2018,N/A,3,Sara,Rahmati
55,0000-0002-6138-1236,0000-0002-6138-1236,Radboudumc,APPROVED,Gynecological oncologist,2017,"endometrial cancer, molecular biology, carcinogenesis",159,Johanna,Pijnenborg
56,0000-0003-0267-5792,0000-0003-0267-5792,The University of Melbourne,APPROVED,,N/A,N/A,62,Michael,Menden
57,0000-0003-0291-3332,0000-0003-0291-3332,Università degli Studi di Milano-Bicocca,APPROVED,Research Scholarship in Cognitive ergonomics,2022,N/A,3,Riccardo,Angius
58,0000-0002-8105-1322,0000-0002-8105-1322,IRCCS Humanitas Research Hospital,APPROVED,,N/A,N/A,7,Eleonora,Calabretta
59,0000-0001-7823-8973,0000-0001-7823-8973,N/A,APPROVED,N/A,N/A,N/A,3,SIMONE,FONTANA
60,0000-0001-8233-4570,0000-0001-8233-4570,N/A,APPROVED,N/A,N/A,N/A,22,Gabriele,Russo Russo
61,0000-0002-9752-1114,0000-0002-9752-1114,N/A,APPROVED,N/A,N/A,N/A,4,Francesco,Fiorio
62,0000-0002-9744-3750,0000-0002-9744-3750,N/A,APPROVED,N/A,N/A,N/A,1,RICCARDO,MELEN
63,0000-0002-4195-1641,0000-0002-4195-1641,Australian National University,APPROVED,Professor,2016,N/A,136,Hanna,Suominen
64,0000-0002-1071-3958,0000-0002-1071-3958,Istituto Nazionale di Geofisica e Vulcanologia Sezione di Catania,APPROVED,Senior Researcher,N/A,"volcano seismology, pattern recognition, augmented reality, seismic haza",87,Susanna,Falsaperla
65,0009-0008-2971-3959,0009-0008-2971-3959,N/A,APPROVED,N/A,N/A,N/A,0,Alfredo,Landolfo
66,0000-0002-5742-8302,0000-0002-5742-8302,N/A,APPROVED,N/A,N/A,N/A,37,Chiara,Damiani
67,0000-0001-6097-5342,0000-0001-6097-5342,Fondazione Bruno Kessler,APPROVED,head of research unit,2007,"photogrammetry, 3D surveying, 3D modeling, geomatics",391,Fabio,Remondino
68,0000-0002-3404-6395,0000-0002-3404-6395,Fondazione Bruno Kessler,APPROVED,Researcher,N/A,N/A,26,elisa mariarosaria,farella
69,0000-0003-4772-9109,0000-0003-4772-9109,N/A,APPROVED,N/A,N/A,N/A,76,FABRIZIA,MANTOVANI
70,0000-0002-9243-8071,0000-0002-9243-8071,University of Luxembourg,APPROVED,Research Associate,2019,N/A,9,Oscar,Cornejo
71,0000-0003-4365-4998,0000-0003-4365-4998,N/A,APPROVED,N/A,N/A,N/A,3,Benedetta,Baldini
72,0000-0001-7737-4172,0000-0001-7737-4172,IBM Thomas J Watson Research Center,APPROVED,Research Staff member,2010,N/A,44,Raquel,Norel
73,0000-0003-0759-8431,0000-0003-0759-8431,N/A,APPROVED,N/A,N/A,N/A,47,Luca Maria,Sconfienza
74,0000-0002-9192-0034,0000-0002-9192-0034,N/A,APPROVED,N/A,N/A,N/A,3,Francesco Paolo,Perelli
75,0000-0002-7618-7292,0000-0002-7618-7292,University of Virginia,APPROVED,,N/A,"computational biology, data science",49,Philip,Bourne
76,0000-0001-6560-0988,0000-0001-6560-0988,N/A,APPROVED,N/A,N/A,N/A,24,Jonathan,Klein
