,ORCID ID,ORCID_ID,Organization,Status,Role_Title,Start_Date,Keywords,Number_of_Works,Given_Name,Family_Name
300,0000-0002-1994-2634,0000-0002-1994-2634,IBM Thomas J Watson Research Center,APPROVED,Research Staff Member,2010,"Nanopores, Electronic DNA sequencing, Biosensing by electron tunneling, DNA translocations, control and manipulation, X-ray scattering, Dendrimers, Liquid crystals, Polymers",45,Venkat,Balagurusamy
301,0000-0003-0326-8742,0000-0003-0326-8742,BID Company srl,APPROVED,Research Scientist,2023,N/A,2,Giorgio,Lazzarinetti
302,0000-0001-9544-2933,0000-0001-9544-2933,University of Palermo,APPROVED,Assistant Professor (RTD-B),2021,N/A,2,Dario,Monzani
303,0000-0002-5991-5470,0000-0002-5991-5470,Università degli Studi di Modena e Reggio Emilia,APPROVED,Associate professor in S.S.D. INF01 (Informatics),2015,N/A,91,Marco,Villani
304,0000-0003-4580-6617,0000-0003-4580-6617,Chitkara University,APPROVED,Assistant Professor,2022,Software Defined Networking,22,Dr. Himanshi,Babbar
305,0000-0002-0156-3636,0000-0002-0156-3636,Human Technopole,APPROVED,PhD Student,2021,N/A,14,Salvatore,Milite
306,0000-0002-2151-7266,0000-0002-2151-7266,Dalle Molle Institute for Artificial Intelligence Research,APPROVED,Senior Researcher in Bayesian Networks and Probabilistic Graphical Models,2019,N/A,45,Marco,Scutari
307,0000-0003-1109-2070,0000-0003-1109-2070,University of Toronto,APPROVED,,N/A,N/A,11,Anthony,Gramolini
308,0000-0003-3375-7256,0000-0003-3375-7256,N/A,APPROVED,N/A,N/A,N/A,35,Riccardo,Pinciroli
309,0000-0002-0235-0421,0000-0002-0235-0421,N/A,APPROVED,N/A,N/A,N/A,4,Emanuele,Cavenaghi
310,0000-0003-0384-3700,0000-0003-0384-3700,Ospedale San Raffaele,APPROVED,Head of Bioinformatics,2011,"bioinformatics, sequencing, epigenomics, genomics",76,Davide,Cittaro
311,0000-0001-7084-6800,0000-0001-7084-6800,N/A,APPROVED,N/A,N/A,N/A,47,davide,ferrari
312,0000-0002-0905-5927,0000-0002-0905-5927,Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico,APPROVED,MD,2023,"lymphoma, marginal zone, follicular, hepatitis C virus",137,Michele,Merli
313,0000-0002-8279-729X,0000-0002-8279-729X,Universita' degli Studi di MILANO,APPROVED,Dottorandi,2020,N/A,4,ANNALISA,BARSOTTI
