,Institution,openalex_id,country,type,homepage_url,works_count,cited_by_count,corrected_university_name
0,Centre Nacional d'Anàlisi Genòmica,,,,,,,**National Center for Genomic Analysis**
1,Ospedale San Raffaele,https://openalex.org/I4210133214,IT,healthcare,http://www.hsr.it/,15993.0,479595.0,Ospedale San Raffaele
2,Luxembourg Institute of Health,https://openalex.org/I4210101141,LU,nonprofit,http://www.lih.lu/,3132.0,82718.0,Luxembourg Institute of Health
3,Imperial College London,https://openalex.org/I47508984,GB,education,https://www.imperial.ac.uk,295372.0,12020557.0,Imperial College London
4,Microsoft Research,https://openalex.org/I4210164937,GB,company,http://research.microsoft.com/en-us/labs/cambridge/default.aspx,14686.0,881823.0,Microsoft Research
5,Istituto di Ricerche Farmacologiche Mario Negri Centro Aldo e Cele Daccò,https://openalex.org/I19630809,IT,nonprofit,http://www.marionegri.it/en_US/home,18407.0,1189077.0,Mario Negri Institute for Pharmacological Research
6,University College Hospital London,https://openalex.org/I45129253,GB,education,http://www.ucl.ac.uk/,468556.0,18477812.0,University College London
7,Universidade NOVA de Lisboa,https://openalex.org/I83558840,PT,education,http://www.unl.pt/en/,50378.0,1067359.0,Universidade NOVA de Lisboa
8,The Open University,https://openalex.org/I204136569,GB,education,https://www.open.ac.uk,40803.0,1161890.0,The Open University
9,SDU,https://openalex.org/I177969490,DK,education,https://www.sdu.dk,65230.0,2003176.0,**Southern Denmark University**
10,Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico,https://openalex.org/I2803066834,IT,healthcare,http://www.policlinico.mi.it/,35077.0,912836.0,Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico
11,Open University of Catalonia,,,,,,,Open University of Catalonia
12,"Chitkara University Institute of Engineering and Technology, Chitkara University",https://openalex.org/I74319210,IN,education,http://www.chitkara.edu.in/,11992.0,83965.0,Chitkara University
13,St Bartholomew's Hospital,https://openalex.org/I1307195382,GB,healthcare,http://bartshealth.nhs.uk/our-hospitals/st-bartholomew%E2%80%99s-hospital/,24389.0,797505.0,St Bartholomew's Hospital
14,Universitat Politècnica de València,https://openalex.org/I60053951,ES,education,https://www.upv.es,64342.0,1327439.0,Universitat Politècnica de València
15,University of Yamanashi,https://openalex.org/I66906201,JP,education,http://www.yamanashi.ac.jp/,21777.0,384552.0,University of Yamanashi
16,Universiteit Leiden Mathematisch Instituut,https://openalex.org/I121797337,NL,education,http://www.leiden.edu/,111036.0,4169683.0,Leiden University
17,Universita' di Milano Bicocca,https://openalex.org/I66752286,IT,education,https://www.unimib.it,55771.0,1503914.0,University of Milano-Bicocca
18,University of Milano - Bicocca,https://openalex.org/I66752286,IT,education,https://www.unimib.it,55771.0,1503914.0,University of Milano - Bicocca
19,Istituto Ortopedico Galeazzi,https://openalex.org/I4210113215,IT,healthcare,http://www.galeazzi-gsd.it/,6150.0,127987.0,Istituto Ortopedico Galeazzi
20,Thomas Jefferson University,https://openalex.org/I149251103,US,education,https://www.jefferson.edu,57331.0,2069836.0,Thomas Jefferson University
21,STMicroelectronics,https://openalex.org/I4210104693,FR,company,http://www.st.com/content/st_com/en.html,5653.0,69853.0,STMicroelectronics
22,University of Illinois Urbana-Champaign,https://openalex.org/I157725225,US,education,https://illinois.edu,301728.0,12148248.0,University of Illinois Urbana-Champaign
23,University of Roehampton,https://openalex.org/I877107187,GB,education,http://www.roehampton.ac.uk/home/,8900.0,187135.0,University of Roehampton
24,Rhine-Waal University of Applied Sciences,https://openalex.org/I70865968,DE,education,https://www.hochschule-rhein-waal.de/en,1081.0,12601.0,Rhine-Waal University of Applied Sciences
25,University of Illinois at Urbana-Champaign,https://openalex.org/I157725225,US,education,https://illinois.edu,301728.0,12148248.0,University of Illinois Urbana-Champaign
26,"Policlinico ""G. Rodolico-S. Marco"" University Hospital",https://openalex.org/I112862951,IT,education,https://www.unime.it,45591.0,978151.0,University of Messina
27,University Health Network,https://openalex.org/I1325899441,CA,healthcare,https://www.uhn.ca,53752.0,2069950.0,University Health Network
28,Radboudumc,https://openalex.org/I145872427,NL,education,http://www.ru.nl/english/,167366.0,6645206.0,Radboud University
29,The University of Melbourne,,,,,,,The University of Melbourne
30,Australian National University,https://openalex.org/I118347636,AU,education,https://www.anu.edu.au,161741.0,5740309.0,Australian National University
31,Istituto Nazionale di Geofisica e Vulcanologia Sezione di Catania,,,,,,,National Institute of Geophysics and Volcanology
32,IBM Thomas J Watson Research Center,https://openalex.org/I4210114115,US,facility,http://research.ibm.com/labs/watson/index.shtml,26243.0,1456824.0,IBM Thomas J Watson Research Center
33,University of Virginia,https://openalex.org/I51556381,US,education,https://virginia.edu,176271.0,6342914.0,University of Virginia
34,TU Wien,https://openalex.org/I145847075,AT,education,https://www.tuwien.at,73278.0,1814198.0,TU Wien
35,"City, University of London",,,,,,,"City, University of London"
36,University of Groningen,https://openalex.org/I169381384,NL,education,http://www.rug.nl/,147603.0,5669035.0,University of Groningen
37,University of Florida,https://openalex.org/I33213144,US,education,https://www.ufl.edu,312505.0,9604244.0,University of Florida
38,Khalifa University of Science Technology,https://openalex.org/I176601375,AE,education,https://www.ku.ac.ae/,17310.0,275334.0,Khalifa University of Science Technology
39, University of South Wales  -,https://openalex.org/I128993996,GB,education,http://www.southwales.ac.uk/,12182.0,242774.0, University of South Wales  -
40,Université de Technologie de Compiègne,https://openalex.org/I102516824,FR,education,https://www.utc.fr,11336.0,247025.0,Université de Technologie de Compiègne
