ORCID ID,Given_Name,Family_Name,Role,Keywords,Organization,H Index,Citations
0000-0002-1240-5553,Andreas,Dräger,Professor,"Information Visualization, Systems Biology Modeling, Software Engineering",Martin Luther University Halle-Wittenberg,36,6842
0000-0002-3383-6504,Rui,Song,,Nessuna,North Carolina State University,37,5236
0000-0001-9146-9872,DongWon,Park,,Nessuna,Unknown affiliation,30,3601
0000-0001-8653-8837,Fabio,Sartori,,Nessuna,Professor do Programa de Pós Graduação em Engenharia de Produção e Sistemas - PPGEPS UNISINOS,16,807
0000-0003-1817-2516,seung wook,kim,,Nessuna,NVIDIA,14,1793
0000-0002-1470-6288,Franziska,Klügl,Professor,"Multiagent Systems, Artificial Intelligence, Modelling and Simulation, Visual Programming",Örebro Universitet,,
0000-0001-7802-8642,bingchen,Li,,Nessuna,Harvard Medical School,16,779
0000-0003-3832-0280,Carlos,De Niz,Research Fellow,"Bioinformatics, Computational Biology, Data Science, Engineering",Harvard Medical School,5,164
0009-0000-7783-9937,Divi Galih Prasetyo,Putri,,Nessuna,Universitas Gadjah Mada,6,112
0000-0002-9115-8756,Lukas,Endler,Postdoc,Nessuna,Medizinische Universität Wien,20,4021
0000-0003-0335-2418,Paolo,Baili,,Nessuna,Fondazione IRCCS Istituto Nazionale dei Tumori,,
0000-0003-1252-2001,Zhi-Kai,Huang,,Nessuna,National Taiwan University,11,750
0000-0003-1925-9154,Samuel,Kaski,,"machine learning, probabilistic modeling, information visualization, computational biology, computational medicine, bioinformatics, brain signal analysis, information retrieval, proactive interfaces, user modeling","Professor, Aalto University and University of Manchester",73,21895
0000-0003-3584-9998,Pierre,Neuvial,,Nessuna,"CNRS, Institut de Mathématiques de Toulouse",20,11884
0000-0001-7603-6497,Hongwei,Yong,,Nessuna,Research Assistant Professor  in the Hong Kong Polytechnic University,19,3354
0000-0003-4080-8736,Fu,Li,,Nessuna,Baylor College of Medicine,40,64699
0000-0001-9552-316X,David,Wang,,Nessuna,"Analyst: Climate Finance, Climate Policy Initiative",68,41206
0000-0001-8275-2852,Yuanfang,Guan,,Nessuna,University of Michigan,,
0009-0006-3175-4544,Ana Belen,Malpartida,,Nessuna,Biomedizinisches Centrum München - LMU München,5,427
0000-0003-4661-4959,Tao-tao,Zhang,,Nessuna,"Institute of Tibetan Plateau Research, Chinese Academy of Sciences",6,288
0009-0003-5266-3527,Stephanie,Huang,,Nessuna,Fellow Health,49,10602
0000-0003-2331-4523,Sandi,Gec,,Nessuna,University of Ljubljana,,
0000-0002-3663-7113,Emek,Demir,Associate Professor,Nessuna,Oregon Health & Science University,39,11039
0000-0001-8876-6323,Gabriele,Ferrario,,Nessuna,"Research Associate, University of Bologna",6,83
0000-0003-3546-0093,Marcello,Gallucci,,Nessuna,"Dep. of Psychology, University Milano-Bicocca",42,8416
0000-0001-9849-9011,Tom,Wurdinger,,Nessuna,VU,,
0000-0002-3060-1419,BO,WANG,,Nessuna,普林斯顿大学物理学教授,162,145991
0000-0001-7078-7927,Pekka,Marttinen,,Nessuna,Aalto University,34,10000
0000-0002-4235-6844,David,Knowles,JET Safety Liason  ,Nessuna,UKAEA,38,10991
0000-0002-5820-9881,Joseph,Usset,Data Scientist,"Statistics, Bioinformatics, Data Science",Apple Inc,8,543
0000-0002-6035-2994,Óscar,Espitia,,Nessuna,Departamento de Fisicoquímica - Universidad de Granada,26,2310
0000-0003-4424-0674,Ali,Hmaity,,Nessuna,Humanity,95,55403
0000-0002-6495-2655,Aurélien,Naldi,Researcher,Nessuna,Inria Centre de Recherche Saclay-Île-de-France,27,4938
0000-0002-3655-1643,Dylan,Skola,Bioinformatics Scientist,Nessuna,"Illumina, Inc.",,
0000-0003-4492-1680,silvia,spinelli,,Nessuna,"Dra en Física, Facultad de Ciencias Exactas, UNLP",59,10792
0000-0002-4268-6827,DAVIDE,MASPERO,,Nessuna,"Single Cell Genomics Team - Centre Nacional d’Anàlisi Genòmica (CNAG-CRG), Barcelona, Spain",13,541
0000-0003-3495-0795,Xiaobing,Wang,,Nessuna,"John Hopkins University, Bloomberg School of Public Health",78,19100
0000-0003-3783-8272,Bumjun,Park,,Nessuna,"Associate Professor, Kyung Hee University, Korea",40,5201
0000-0002-5393-9594,Hanwen,Liu,,Nessuna,Curtin University,20,1865
0009-0003-6945-3489,Andrey,Ignatov,,Nessuna,ETH Zurich,23,3768
0000-0001-5207-4579,EMANUELE,PRETI,,Nessuna,Unknown affiliation,25,3404
0000-0002-5765-1248,Sofia,Bressan,,Nessuna,Unknown affiliation,4,98
0000-0001-7409-7448,Chuansheng,Wang,,Nessuna,"Research Fellow, PhD, National University of Singapore",8,242
0009-0006-3378-160X,Giulia,Pugliese,,Nessuna,Agostino Gemelli University Polyclinic,,
0000-0002-3761-7683,Alexander T. J.,Barron,,Nessuna,"Post-doctoral Associate, NYU Abu Dhabi",5,327
0000-0002-3283-6131,Mauro,Dell'Amico,Full professor,Nessuna,Università degli Studi di Modena e Reggio Emilia,,
0000-0003-3767-2153,MIJIN,KWON,,Nessuna,Samsung Electronics,4,64
0000-0002-4450-701X,Tjeerd,Dijkstra,,"Systems Biology, Bioinformatics, Machine Learning",University Clinic Tubingen,24,2494
0000-0002-0447-9157,Julia,Hopkins,,Nessuna,"Professor, Wills Eye, Hopkins, Jefferson",122,67248
0000-0002-1633-0130,Samik,Ghosh,,Nessuna,"Assistant Professor, Department of Physics, Indian Institute of Technology Hyderabad",135,87194
0000-0002-2069-9774,Valentina,Dorigatti,,Nessuna,Unknown affiliation,3,55
0000-0002-9871-0806,peter,morales,,Nessuna,Microsoft,8,303
0000-0003-2402-363X,Salman,Khan,,Nessuna,"MBZUAI, Australian National University",77,26180
0000-0002-1652-3944,Bo,van Engelen,PhD,Nessuna,Maastricht University,,
0000-0002-7194-5218,junyu,chen,,Nessuna,"West China Hospital of Stomatology, Sichuan University",32,2994
0000-0003-2533-1298,Simone,Scaboro,,Nessuna,University of Udine,6,64
0000-0002-3805-1546,Jinseub,Hwang,,"Statistics, Bayesian, Medical Statistics, Daegu University",Daegu University,20,1870
0000-0002-2042-5669,Riccardo,Riva,,"Solid Earth Geophysics, Global Geodynamics, Sea Level Change, Glacial Isostatic Adjustment, Viscoelastic deformation, Post-seismic Deformation",Delft University of Technology,39,6302
0000-0001-5160-7396,Stefano,Pirro,,"Bolometers, Double beta decay",INFN resercher,,
0000-0003-1797-9385,liye,he,,Nessuna,"Postdoc, University of Helsinki",11,1221
0000-0003-3953-7692,Chongyi,Li,,Nessuna,"Professor, Nankai University",47,13718
0000-0002-4068-5361,Yulun,Zhang,,Nessuna,"Associate Professor, Shanghai Jiao Tong University",51,22298
0000-0002-1735-6279,Di,He,,Nessuna,Peking University,43,9911
0000-0002-3413-6841,Ioannis,Xenarios,,"computational biology, bioinformatics, immunology, biochemistry",UNIL/CHUV/Health2030 Genome Center,87,58873
0000-0003-3046-2217,Eyal,Ben Zion,Data Scientist,"Machine Learning, Data Scientist, Statistics",Cerebri AI,5,238
0000-0003-3216-7852,Yanlin,Qian,,Nessuna,"DJI/Hasselblad, Tampere University",9,581
0000-0003-3005-4109,John,See,,Nessuna,Heriot-Watt University,37,5141
0000-0002-3931-8249,Mathilde,Bateson,,Nessuna,ETS Montréal,9,401
0009-0004-8379-4068,Mikhail,Zaslavskiy,,Nessuna,Unknown affiliation,17,2802
0000-0002-1855-9887,Ryan,Miller,Associate Professor of Higher Education,Nessuna,UNC Charlotte,61,29326
0000-0001-7982-1941,Angeliki-Ilektra,Karaiskou,,Nessuna,KU Leuven,1,1
0000-0002-7353-6362,Kyung,Kim,,Nessuna,"Department of Applied Chemistry, Kyung Hee University",62,25885
0000-0002-9617-2813,Lucia,Clemente,,COVID-19; rendimiento escolar; educación online; estudiantes universitarios; educación superior,Instituto de Investigaciones Biológicas Clemente Estable,4,44
0000-0002-5876-6215,MARIO,MAURI,,Nessuna,"post doctoral position, University of milano Bicocca",15,934
0000-0003-4952-2136,Rim,Faiz,,Nessuna,"Professeur en Informatique, IHEC, Université de Carthage",17,1141
0000-0002-1102-0387,Lester,Mackey,,Nessuna,Microsoft Research,41,6379
0000-0003-0001-8211,Stephen,Capuzzi,Postdoctoral Fellow,"Computational Chemistry, Cheminformatics, Bioinformatics, Protein-Protein Interactions, Structure-based Docking, Molecular Dynamics, Molecular Modeling, Data Mining, Small-world Networks, Exome Analysis, Cell Culture, Molecular Biology, NMR",UNC Catalyst for Rare Diseases,26,2048
0000-0001-8749-1356,Antonia,Bertolino,Research Director,Nessuna,Consiglio Nazionale delle Ricerche,49,9234
0000-0003-0318-0118,Juntae,Kim,,Nessuna,Elsevier,40,4805
0000-0001-9380-5235,Xiumei ,Wang ,,Nessuna,Xidian University,10,2298
0000-0002-1656-6995,Lodewyk,Wessels,Professor,Nessuna,Delft University of Technology,96,50306
0000-0002-5812-4052,Peter,Gehler,,"computer vision, machine learning",Amazon.com,42,16053
0000-0003-1840-5551,Eiji,Kaneko,,Nessuna,NEC Corporation,5,68
0000-0001-7103-7589,Arnoldo ,Frigessi,,Nessuna,University of Oslo,46,9309
0000-0002-5945-0159,Abdullah M.,Khamis,,Nessuna,King Abdullah University of Science and Technology (KAUST),6,545
0000-0002-7764-6745,Davide,Rossi,,Nessuna,"Associate Professor, University Of Bologna",40,6184
0000-0001-5838-7963,Douglas,Kell,,"Systems Biology - omics - analytics - iron - drug transporters, deep learning - microbial dormancy",The University of Manchester,133,74485
0000-0003-2629-8776,Jiawei,Wu,,Nessuna,Unknown affiliation,43,10091
0000-0003-4991-4148,Mushthofa,Mushthofa,Lecturer & Researcher,"artificial intelligence, machine learning, bioinformatics, declarative programming, network biology",Bogor Agricultural University,16,3312
0009-0009-7447-1204,Francesco,Calimeri,,Nessuna,"Associate Professor of Computer Science, University of Calabria (UNICAL), Italy",27,3078
0000-0003-3654-6155,Fan,Fan,,Nessuna,"James Wilson is a 31-year-old sports content creator from Manchester, UK. He is a huge football fan and supports his local team. With ATZ Sport, he focuses on providing live sports streams to users all over the world. This would require a lot of technical expertise and resources. However, with his passion for sports, he would work tirelessly to ensure that the website offers a seamless and high-quality streaming experience for all users. In addition, he would also aim to create a community of sports fans and enthusiasts on the website, fostering a sense of belonging and engagement among users.  #ATZsport #ATZfootball #atzsports247 #atzsportstoday About me:  Website: https://atzsport.com/   Email: JamesWilsonATZsport@gmail.com Address: Manchester, UK",231,219107
0000-0001-9614-7610,Camir,Ricketts,,Nessuna,"PhD Candidate, Weill Cornell Medicine",10,730
0000-0003-4078-6514,Xiaotao,Wang,,Nessuna,Fudan University,13,966
0009-0005-1904-3718,Sabarinathan,Sabarinathan,Business Consultant: Medical Writing Services,Nessuna,Tata Consultancy Services (India),27,9585
0000-0003-0492-3569,Hannah,Carter,,Nessuna,"Associate Professor, University of California San Diego",45,31353
0000-0002-5329-7405,Alok,Sharma,,Nessuna,KTH Royal Institute of Technology,61,15282
0000-0003-1709-9492,Armando,Santoro,Director of Humanitas Cancer Center,"Humanitas Clinical and Research Center – IRCCS -, via Manzoni 56, 20089 Rozzano (Mi) – Italy",IRCCS Humanitas Research Hospital,123,84674
0000-0001-5035-4104,Shijie,Zhao,,Nessuna,"CMAR, CSIRO",34,5247
0000-0003-1909-8119,Lieven,Verbeke,,Nessuna,Centrica Business Solutions,23,4171
0000-0003-3318-120X,Joaquin,Dopazo,Director,Nessuna,Fundación Progreso y Salud,90,36735
0000-0003-3768-770X,FABIO,MADEDDU,,Nessuna,"Full Professor of Clinical Psychology, University of Milan Bicocca",29,4525
0000-0001-7133-4137,Emanuele ,Aiello,,Nessuna,A.O.U. Policlinico Vittorio Emanuele di Catania,11,583
0000-0003-4439-3953,Amir,Bernat,,Nessuna,"Algorithms engineer, MobileODT inc.",4,105
0000-0001-6424-6139,Pengju,Liu,,Nessuna,"Institute of Geology, Chinese Academy of Geological Science",34,3959
0000-0001-5712-0036,James,Karp,"ESD group manager, Principal Eng.",Nessuna,Xilinx Inc,4,63
0000-0002-4500-4676,Tim,Herpelinck,,Nessuna,KU Leuven,5,169
0000-0002-1109-6306,Marcos,da Silva Almeida,,Nessuna,"PhD Student, University Pierre Marie Curie",11,556
0000-0001-6835-0136,Chaitra,Desai,,Nessuna,KLE Technological University,12,388
0000-0003-2236-2849,Jouhyun,Jeon,Principal Investigator,Nessuna,Klick Inc,18,1104
0000-0002-5195-1418,Li-Li,Zhang,,Nessuna,"Assistant Professor of Rehabilitation, HUE, China.",2,17
0000-0002-4170-5344,Kazutoshi,Akita,,"Object Detection, Super Resolution",Akita University,17,945
0000-0001-8700-8440,Seo-Won,Ji,,Nessuna,Korea University,9,966
0000-0002-4359-3817,Sanja,Baric,Associate Professor,Nessuna,Free University of Bozen-Bolzano,23,2383
0000-0002-4660-4622,LUCA,CROCIANI,Post-Doctoral Researcher,"Modelling and Simulation, Artificial Intelligence, Complex Systems, Traffic Dynamics",University of Milano-Bicocca,,
0000-0001-8369-6936,rui,XIN,,Nessuna,Tongji University,32,4883
0009-0008-9519-0092,Pengliang,Tang,,Nessuna,Beijing University of Posts and Telecommunications,1,92
0000-0001-8512-1415,Zhezhu,Jin,,Nessuna,"Engineer, Samsung Research China-Beijing",5,190
0000-0003-3184-6933,Shakarim,Soltanayev,,Nessuna,"Research Scientist, Sony Interactive Entertainment",7,469
0000-0002-2919-4158,Ruiqi,Wu,,Nessuna,Nankai University,6,316
0000-0003-0165-3663,Boaz,Lerner,,Nessuna,Ben-Gurion University of the Negev,28,2303
0000-0003-3988-0837,Kevin,Shopsowitz,,Nessuna,University of British Columbia,28,5508
0000-0002-6158-4148,Fatima,ES-SABERY,," DataMining, BigData ,WSNs, fuzzy systems, machine learning, deep l",Unknown affiliation,7,197
0000-0002-6419-273X,xiangyu,chen,,Nessuna,"Beijing institute of nanoenergy and nanosystems, Chinese Academy of Science",58,12492
0000-0001-6679-6935,Takeshi,Hase,,Nessuna,The System Biology Institute,14,1284
0000-0003-0006-4082,Johan,Elf,senior consultant,Nessuna,Skånes universitetssjukhus Lund Hematologiska kliniken,46,12789
0000-0002-4881-7760,Siyuan,Yang,,Nessuna,"School of Resource and Environment Engineering, Wuhan University of Technology",26,1922
0000-0001-7175-422X,Gordon,Ball,,Nessuna,"University of Minnesota, SOFIA Science Center, Ball Aerospace",9,770
0000-0003-4616-7036,Eugene,Muratov,,Nessuna,University of North Carolina,56,13528
0000-0002-0004-181X,Maitreya,Suin,,Nessuna,Johns Hopkins University,19,1392
0000-0003-1767-6448,Seonyeong,Park,,Nessuna,University of Illinois Urbana-Champaign,8,275
0000-0003-1787-0275,Colin,Gillespie,CTO,Nessuna,Jumping Rivers,31,2828
0000-0001-7569-5319,Catalina,Anghel,Computational Research Scientist,Nessuna,Canadian Nuclear Laboratories,6,239
0000-0002-7390-2094,John,Reid,Assistant Professor,"Restoration Ecology, Tropical Forest Restoration, Seed Dispersal, Epiphyte, Restoration Longevity, Bird, Bat, Costa Rica",Virginia Tech,83,34385
0000-0002-0057-8940,Fabrizio,Smeraldi,,Nessuna,"Senior Lecturer in AI, Queen Mary, University of London",24,2324
0000-0001-8566-7223,Dario,Bertazioli,,Nessuna,University of Milano-Bicocca,3,158
0000-0002-1226-2150,Chris,de Graaf,"VP, Head of Computational Drug Discovery and Data Science","cheminformatics, medicinal chemistry, chemogenomics, bioinformatics, computer-aided drug design",Structure Therapeutics,59,10984
0000-0002-0301-2221,Minji,Jeon,,"Computer Science Education, Computational Thinking, Computer-Supported Collaborative Learning",Indiana University,42,5382
0000-0002-4389-8688,Ugo,Becciani,Researcher,Nessuna,INAF - Osservatorio Astrofisico di Catania,35,29988
0000-0002-6472-0221,Florian,Mittag,Professor for Artificial Intelligence in Visual Computing,"machine learning, artificial intelligence, semantic web",Hochschule für angewandte Wissenschaften Coburg,12,1133
0000-0003-2988-9678,Luigi,Pedone,Radiologist,Nessuna,IRCCS Istituto Ortopedico Galeazzi,22,2180
0000-0001-7554-9610,Dennis,Wang,,Nessuna,"Professor (Chair in Biomedical Data Science), A*STAR & Imperial College London",39,16033
0000-0003-3562-8861,Jiadong,Ji,,Nessuna,"Associate Professor, Shandong University",15,883
0000-0003-1860-8666,Fitsum Meshesha,Kifetew,Researcher,"software testing, search-based software engineering, software engineering, requirements engineering",Fondazione Bruno Kessler,19,1336
0000-0001-5065-8618,Sondess,MISSAOUI,,Nessuna,"Research Associate in Artificial Intelligence, University of York",8,309
0000-0002-3240-2341,FRANCANTONIO,DEVOTO,,Nessuna,"Postdoctoral Research Fellow, University of Milano-Bicocca",7,245
0000-0001-5828-4139,Jouni,Sirén,Associate Research Scientist,Nessuna,"University of California, Santa Cruz",22,3391
0000-0001-6784-816X,Xiaohui,Xie,,Nessuna,"Professor of Computer Science, University of California, Irvine",73,42994
0000-0002-6293-9668,Pablo,Navarrete Michelini,,Nessuna,Independent Researcher,18,1292
0000-0001-7232-0693,Benjamin,van Wyk de Vries,,Nessuna,Unknown affiliation,46,6118
0000-0002-3924-3961,Francesco,Di Pietto,PHD,Nessuna,Pineta Grande Srl,12,625
0000-0001-7376-2768,Yijian,Zhang,,Nessuna,Central South University,12,388
0009-0007-6430-4969,Iwan,de Kok,Postdoctoral Researcher,Nessuna,Bielefeld University,13,854
0000-0001-5346-9812,Ronan MT,Fleming,Associate Professor,Nessuna,University of Galway,44,13103
0000-0002-8395-0452,valeria,blasi,Researcher,"borderline intellectual functioning, neuroimaging, brain development, brain tumors",Fondazione Don Carlo Gnocchi,24,2793
0000-0001-9698-7206,Alexander,Belokopytov,researcher,Nessuna,Institute for Information Transmission Problems,5,86
0000-0002-9524-6024,Andrea,Aquino,,Nessuna,"Professor of Computer Science, Federal University of Alagoas",19,1899
0000-0002-9528-6018,Gianni,Cesareni,,Nessuna,University of Rome Tor Vergata,87,33889
0000-0001-7456-8764,Miguel,Rocha,,Nessuna,"Associate Professor, Dept. Informatics and Centre Biological Engineering, Universidade do Minho",38,7110
0000-0001-6180-0106,Francesco,Marabita,,Nessuna,Karolinska University Hospital,22,4140
0000-0003-0718-8707,Claudio,Feliciani,Project Associate Professor,Nessuna,The University of Tokyo,48,9089
0000-0003-4645-1395,Yong-Guk,Kim,,Nessuna,"Prof. Computer Eng., Sejong University",18,1392
0009-0000-3537-1977,Michele,Carbonera,,Nessuna,University of Milano-Bicocca,1,1
0000-0002-5100-2263,Vishal,Monga,Associate Professor,Nessuna,Pennsylvania State University,45,11406
0000-0002-7974-4744,ling,shao,,Nessuna,Taizhou University,131,71357
0009-0008-5921-1351,Sara,Manzoni,Junior Researcher,Nessuna,IRCCS Istituto Auxologico Italiano,21,2013
0000-0001-7850-9075,Billur,Engin Balin,Associated Professor,Nessuna,Istanbul University,8,183
0000-0002-9115-1239,Kwanghun,Choi,,Nessuna,"Chonnam National University, Gwang-Ju, Republic of Korea",9,236
0000-0003-2439-0608,Davide,Cozzi,,Nessuna,"Institute for Plasma Science and Technology, CNR, via Cozzi 53, 20125 Milan, Italy",27,2256
0000-0001-8577-8433,Alberto,ALIPRANDI,Professori a tempo determinato,Nessuna,Universita' di Milano Bicocca,23,2319
0000-0003-0995-8824,Fernanda,Strozzi,,Nessuna,Università Carlo Cattaneo -LIUC,33,5306
0000-0003-3580-1281,Franklin,Djeumou Fomeni,,Nessuna,University of Quebec in Montreal (ESG-UQAM),9,293
0000-0001-7542-0286,Egon,Willighagen,,"statistics, cheminformatics, chemometrics, bioinformatics, chemistry development kit, metabolomics, predictive toxicology, nanoqsar",Maastricht University,49,12141
0000-0001-8384-3019,Fabio,Marchese,Researcher,Nessuna,King Abdullah University of Science and Technology Red Sea Research Center,20,1269
0000-0002-2582-8061,Thomas,Brouwer,,Nessuna,"Howard University,Harvard University,Center for Integrated Quantum Materials, Center for Quantum",7,597
0000-0001-7891-8813,Massimiliano,ROSSI,,Nessuna,"Department of Industrial Engineering, Alma Mater Studiorum Università di Bologna",27,2705
0000-0002-3254-2571,Elena,Russo,,Nessuna,"Researcher, Istituto di Scienze e Tecnologie per l'Energia e la Mobilità Sostenibili - Consiglio",28,2037
0000-0001-5647-2822,Michele,Bevilacqua,PhD Assistant,Nessuna,École Polytechnique Fédérale de Lausanne,15,3076
0009-0005-9399-8387,Tim,Seizinger,,Nessuna,University of Würzburg,5,122
0000-0002-9085-9171,Eric,Mjolsness,Professor,Nessuna,"Univesity of California, Irvine",41,13391
0000-0003-0323-5078,intissar,khalifa,,Nessuna,Enseignante chercheuse à ISIMG,2,11
0000-0003-2559-9956,RICCARDO,ROVEDA,,Nessuna,Alten (Italy),14,892
0000-0001-6979-533X,Santiago,Videla,,Nessuna,PhD Computer Science,7,294
0000-0002-6178-4377,Jie,Li,,Nessuna,waseda university,97,33677
0000-0002-6193-2296,Catharina,Olsen,,Nessuna,Vrije Universiteit Brussel,18,5831
0000-0001-9951-0155,dan dan,zhu,,Nessuna,The University of Hong Kong,44,21975
0000-0002-5860-5358,Lucia,Morello,ASSISTENTE,Nessuna,IRCCS Humanitas Research Hospital,1,82
0000-0002-2907-2062,Neel ,Madhukar,,Nessuna,OneThree Biotech & Weill Cornell Medical College,16,2055
0000-0002-5037-0419,Cong,Leng,,Nessuna,"CASIA, AiRiA",17,3054
0000-0001-8857-0064,Youliang,Yan,,"corporate finance, corporate governance",huawei,21,3087
0000-0002-5293-5321,Brett,Olivier,,"biochemistry, software developer,  simulation, standardisation, data management, systems biology",Vrije Universiteit Amsterdam,30,3886
0000-0002-8464-1889,Umberto Junior,Mele,PhD student,Nessuna,Dalle Molle Institute for Artificial Intelligence Research,5,57
0000-0002-7075-1681,Merit,Cudkowicz,,Nessuna,"Professor of Neurology, Harvard Medical School",99,32995
0000-0002-4538-6045,Dong Won,Park,,Nessuna,Hanyang University Hospital,30,3601
0000-0001-8675-9066,Chiara,Monfrini,,Nessuna,Fondazione IRCCS Istituto Nazionale dei Tumori,,
0000-0002-3162-5148,K,Uma,Professor,Gender and Development Management,Tamil Nadu Agricultural University,57,22703
0000-0002-0600-3371,iman,hajirasouliha,Assistant Professor of Computational Genomics,Nessuna,Weill Cornell Medical College,34,25196
0000-0002-9633-1191,Weihang,Yuan,,Nessuna,Baidu,,
0000-0002-9241-5347,Jean-Philippe,Tarel,Researcher,Nessuna,Université Gustave Eiffel,36,9099
0000-0001-9690-7333,Ding,Liu,,Nessuna,Harbin Institute of Technology,79,32064
0000-0002-3553-2571,Edoardo,Amaldi,,"Optimization, Operations Research","Professor, Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Italia",36,5856
0000-0003-3065-7989,Jörg,Tiedemann,,"language technology, computational linguistics, machine translation, natural language processing",University of Helsinki,55,12442
0000-0002-4696-461X,Massimiliano,Zanin,,Nessuna,The University of South Australia,38,10626
0000-0003-3899-8657,Martina,Dal Molin,Associate Professor,Nessuna,Vilnius University,10,453
0009-0007-1588-969X,Ivan,Shanin,,Nessuna,Queen Mary University of London,4,86
0000-0001-5075-9486,Daniel,Carlin,,Nessuna,"Chief Medical Officer, Mind Medicine Inc.",14,905
0000-0002-5957-5680,Chi,Li,Research Assistant,Computer vision and machine learning,Johns Hopkins University,39,26892
0000-0001-5702-5493,Aljaž,Košmerlj,Researcher,Nessuna,Jožef Stefan Institute,,
0000-0003-1748-5430,Federico,Bianchi,,Nessuna,"Professor @ Institute for Atmospheric and Earth System Research, University of Helsinki",52,13530
0000-0002-0925-3448,NUNZIO ALBERTO,BORGHESE,,Nessuna,"Professore di Informatica, Università degli Studi di Milano",42,6651
0009-0004-4214-3680,EMANUEL,GONÇALVES,DISCENTE MESTRADO PROFISSIONAL,Nessuna,FIOCRUZ,26,6319
0000-0002-8956-9687,Derek,Smith,Faculty/Professor,Nessuna,Creighton University,65,24060
0000-0002-7880-0193,Feng,Gao,,Nessuna,"Master of Geotechnical Engineering, China University of Mining and Technology",172,165917
0000-0002-3159-2809,Manuela,Berlingeri,,Nessuna,"Associate Professor, Department of Humanistic Studies (DISTUM), University of Urbino Carlo Bo, Italy",24,2065
0000-0002-3075-313X,Francescomaria,Faticanti,,Nessuna,École Normale Supérieure de Lyon,8,287
0000-0003-0271-1757,Denis,Thieffry,Professor,Computational systems biology,École Normale Supérieure,61,13949
0000-0002-5267-9065,C.,Mendes de Oliveira,professor,Nessuna,Universidade de Sao Paulo,50,14495
0000-0003-1111-7522,Uma,Mudenagudi,"Dean  R & D, KLE Tech Hubblli",Nessuna,KLE Technological University,,
0000-0002-1635-7026,Jinyang,Liu,,Nessuna,"Research Scientist, ByteDance Ltd.",13,1542
0000-0002-8438-7251,László,Hunyady,Professor,Nessuna,Semmelweis University,58,14745
0000-0002-3365-580X,Andrea,Moglia,Assistant Professor of Bioengineeering,"Artificial Intelligence surgery, Artificial Intelligence Medical Imaging, Surgical simulation, robotic surgery, virtual simulators",Politecnico di Milano,22,2171
0000-0003-0705-9809,Rahuman S,Malik Sheriff,Senior Project Leader,Nessuna,European Bioinformatics Institute,18,2028
0000-0002-1072-7006,Guang,Li,,Nessuna,National Institute for Materials Science,65,14949
0000-0002-3416-3129,Stefano,Russo,Medical Director,Nessuna,Santobono Children's Hospital,32,3858
0000-0001-7154-9920,Xiaoran,QIN,,Nessuna,Hong Kong University of Science and Technology,7,554
0000-0003-3222-4044,Miguel Angel,Pujana,,Nessuna,PI ProCURE Catalan Institute of Oncology,54,12535
0000-0001-6767-6660,john,jack,,Nessuna,"Professor of Medicine/Health Research & Policy/Biomedical Data Science/Statistics, Stanford Univ",264,592760
0000-0002-5931-4835,Michael,Freeman,,Nessuna,"Professor, Cancer Biology, Cedars-Sinai Medical Center",81,22196
0000-0002-5097-372X,Thomas,Larrieu,,Nessuna,CNP/CHUV,13,1559
0000-0002-2360-6617,CARMEN,RODRIGUEZ,,Nessuna,ingeniería en administración,109,67890
0009-0008-1583-2914,Sana,Kashgouli,,Nessuna,Unknown affiliation,3,14
0000-0002-3900-8590,Nikola,Banić,,Nessuna,"University of Zagreb, Faculty of Electrical Engineering and Computing",15,813
0000-0003-4198-6606,Alberto,RAIMONDI,,Nessuna,Researcher,2,29
0000-0003-3002-8453,xin xin ,li,,Nessuna,"Sinocloud Wisdom (Beijing) technology co., ltd",100,39482
0000-0003-2610-1291,Orla,Hardiman,"National Clinical Lead, Neurology ","Genomics, Amyotrophic Lateral Sclerosis, Deep phenotyping, Population genetics, Health Services",Health Service Executive,105,53463
0000-0003-4995-780X,Clemens,Wrzodek,Senior Scientist,Nessuna,Roche Innovation Center Munich,18,1258
0000-0002-0724-7060,Stephen,Garnett,,Nessuna,"Professor of Conservation and Sustainability, Charles Darwin University",69,20764
0000-0002-6621-3573,Christoph,Flamm,,Nessuna,"Associate Professor, Department of Theoretical Chemistry, University of Vienna",36,16324
0000-0002-5499-0850,Zheng,Hui,,Nessuna,"Professor of Chemistry, NYU Shanghai, ECNU, SUAT",76,21038
0000-0002-5257-6867,Jing-Jing,LIU,,Nessuna,Abalone Bio,23,1552
0000-0002-4587-0806,Carlos,Fernandez Lozano,,Nessuna,Universidade da Coruña (ROR 01qckj285). CITIC-Research Center of Information and Communication,23,1746
0000-0002-0148-0662,Renan,Greca,PhD Candidate,Nessuna,Gran Sasso Science Institute,4,33
0000-0001-8503-8371,Stefan,Hoops,,Nessuna,"Research Associate Professor, Biocomplexity Institute & Initiative, University of Virginia",32,10393
0000-0003-1998-492X,Sylvia,Richardson,,Nessuna,"Director of MRC Biostatistics Unit and Professor of Biostatistics, University of Cambridge",82,47806
0000-0001-7917-0771,Martine,De Cock,Professor,Nessuna,University of Washington Tacoma,48,7694
0000-0002-0715-5887,Hua,Xu,,Nessuna,Associate professor of Civil Engineering at SWJTU,69,23535
0000-0001-7341-8385,Jeremy,Jacobsen,,Nessuna,"Bioloomics, Inc.",3,30
