,ORCID ID,ORCID_ID,Organization,Status,Role_Title,Start_Date,Keywords,Number_of_Works,Given_Name,Family_Name
150,0000-0002-7286-4014,0000-0002-7286-4014,IRCCS Humanitas Research Hospital,APPROVED,,N/A,N/A,4,Luisa,Bellu
151,0000-0002-6787-1543,0000-0002-6787-1543,N/A,APPROVED,N/A,N/A,N/A,80,Claudia,Giavoli
152,0000-0002-4867-5344,0000-0002-4867-5344,Università degli Studi del Molise,APPROVED,,2020,N/A,48,marcello,zappia
153,0000-0002-9396-7688,0000-0002-9396-7688,National University of Defense Technology,APPROVED,,N/A,N/A,0,Xin,Niu
154,0000-0003-3336-5690,0000-0003-3336-5690,IRCCS Humanitas Research Hospital,APPROVED,Medical Physicist,2010,N/A,175,giacomo,reggiori
155,0000-0003-4012-262X,0000-0003-4012-262X,Università degli Studi eCampus,APPROVED,Professore Associato,2019,N/A,115,Elisa,Pedroli
156,0000-0001-9873-7868,0000-0001-9873-7868,IRCCS Humanitas Research Hospital,APPROVED,Radiation Oncology ,N/A,N/A,13,Damiano,Dei
157,0000-0001-7184-0494,,,TO CHECK,,,,,,
158,0000-0002-6534-642X,0000-0002-6534-642X,University of Milano-Bicocca,APPROVED,Ph.D. student,2021,N/A,13,Matteo,Villa
159,0000-0003-0091-7241,0000-0003-0091-7241,Università degli Studi di Roma La Sapienza,APPROVED,,2017,N/A,50,Emanuele,Rodolà
160,0000-0002-9818-0999,0000-0002-9818-0999,Politecnico di Torino,APPROVED,Full Professor,2019,"Ambient Intelligence, Accessibility, Smart Environments, WebTechnologies, Goal 4: Quality education, PE6_1 - Computer architecture, pervasive computing, ubiquitous computing, PE6_7 - Artificial intelligence, intelligent systems, multi agent systems, PE6_10 - Web and information systems, database systems, information retrieval and digital libraries, data fusion, PE6_9 - Human computer interaction and interface, visualisation and natural language processing, internet of things, human computer interaction, ambient intelligence, WEB TECHNOLOGIES, semantic web, smart environments, PE6_2 - Computer systems, parallel/distributed systems, sensor networks, embedded systems, cyber-physical systems",312,Fulvio,Corno
