"Unnamed: 0","ORCID ID","Given_Name","Family_Name","Role","Keywords","Organization","H Index","Citations"
200,"0009-0005-1904-3718","Sabarinathan","Sabarinathan","Business Consultant: Medical Writing Services","Nessuna","Tata Consultancy Services (India)",27,9585
201,"0000-0002-8287-331X","Arend","Sidow","","Nessuna","","",""
202,"0000-0003-0985-9623","Alice","DI ROCCO","","Nessuna","","",""
203,"0000-0003-0492-3569","Hannah","Carter","","Nessuna","Associate Professor, University of California San Diego",45,31353
204,"0000-0002-5329-7405","Alok","Sharma","","Nessuna","KTH Royal Institute of Technology",61,15282
205,"0000-0003-1709-9492","Armando","Santoro","Director of Humanitas Cancer Center","Humanitas Clinical and Research Center – IRCCS -, via Manzoni 56, 20089 Rozzano (Mi) – Italy","IRCCS Humanitas Research Hospital",123,84674
206,"0000-0001-5035-4104","Shijie","Zhao","","Nessuna","CMAR, CSIRO",34,5247
207,"0000-0003-1909-8119","Lieven","Verbeke","","Nessuna","Centrica Business Solutions",23,4171
208,"0000-0003-3318-120X","Joaquin","Dopazo","Director","Nessuna","Fundación Progreso y Salud",90,36735
209,"0000-0003-3768-770X","FABIO","MADEDDU","","Nessuna","Full Professor of Clinical Psychology, University of Milan Bicocca",29,4525
210,"0000-0001-7133-4137","Emanuele ","Aiello","","Nessuna","A.O.U. Policlinico Vittorio Emanuele di Catania",11,583
211,"0000-0003-4439-3953","Amir","Bernat","","Nessuna","Algorithms engineer, MobileODT inc.",4,105
212,"0000-0001-6424-6139","Pengju","Liu","","Nessuna","Institute of Geology, Chinese Academy of Geological Science",34,3959
213,"0000-0001-5712-0036","James","Karp","ESD group manager, Principal Eng.","Nessuna","Xilinx Inc",4,63
214,"0000-0002-4500-4676","Tim","Herpelinck","","Nessuna","KU Leuven",5,169
215,"0000-0002-1109-6306","Marcos","da Silva Almeida","","Nessuna","PhD Student, University Pierre Marie Curie",11,556
216,"0000-0001-6835-0136","Chaitra","Desai","","Nessuna","KLE Technological University",12,388
217,"0009-0009-0038-4888","Artyom","Panshin","","Nessuna","","",""
218,"0000-0003-2236-2849","Jouhyun","Jeon","Principal Investigator","Nessuna","Klick Inc",18,1104
219,"0000-0002-5195-1418","Li-Li","Zhang","","Nessuna","Assistant Professor of Rehabilitation, HUE, China.",2,17
220,"0000-0002-4170-5344","Kazutoshi","Akita","","Object Detection, Super Resolution","Akita University",17,945
221,"0000-0001-8700-8440","Seo-Won","Ji","","Nessuna","Korea University",9,966
222,"0009-0001-2437-0466","D. Lee","Heavner","","Nessuna","","",""
223,"0000-0002-4359-3817","Sanja","Baric","Associate Professor","Nessuna","Free University of Bozen-Bolzano",23,2383
224,"0000-0002-4660-4622","LUCA","CROCIANI","Post-Doctoral Researcher","Modelling and Simulation, Artificial Intelligence, Complex Systems, Traffic Dynamics","University of Milano-Bicocca","",""
225,"0000-0001-8369-6936","rui","XIN","","Nessuna","Tongji University",32,4883
226,"0009-0008-9519-0092","Pengliang","Tang","","Nessuna","Beijing University of Posts and Telecommunications",1,92
227,"0000-0001-8512-1415","Zhezhu","Jin","","Nessuna","Engineer, Samsung Research China-Beijing",5,190
228,"0000-0003-3184-6933","Shakarim","Soltanayev","","Nessuna","Research Scientist, Sony Interactive Entertainment",7,469
229,"0000-0002-2919-4158","Ruiqi","Wu","","Nessuna","Nankai University",6,316
230,"0000-0003-0165-3663","Boaz","Lerner","","Nessuna","Ben-Gurion University of the Negev",28,2303
231,"0000-0001-7992-0405","Adam","Broadbent","","Nessuna","","",""
232,"0000-0003-3988-0837","Kevin","Shopsowitz","","Nessuna","University of British Columbia",28,5508
233,"0000-0002-6158-4148","Fatima","ES-SABERY",""," DataMining, BigData ,WSNs, fuzzy systems, machine learning, deep l","Unknown affiliation",7,197
234,"0000-0002-3647-2232","Wen-Chieh","Fang","","Nessuna","","",""
235,"0000-0002-6419-273X","xiangyu","chen","","Nessuna","Beijing institute of nanoenergy and nanosystems, Chinese Academy of Science",58,12492
236,"0000-0001-6679-6935","Takeshi","Hase","","Nessuna","The System Biology Institute",14,1284
237,"0000-0003-0006-4082","Johan","Elf","senior consultant","Nessuna","Skånes universitetssjukhus Lund Hematologiska kliniken",46,12789
238,"0000-0002-4881-7760","Siyuan","Yang","","Nessuna","School of Resource and Environment Engineering, Wuhan University of Technology",26,1922
239,"0000-0001-7175-422X","Gordon","Ball","","Nessuna","University of Minnesota, SOFIA Science Center, Ball Aerospace",9,770
240,"0000-0003-4616-7036","Eugene","Muratov","","Nessuna","University of North Carolina",56,13528
241,"0000-0002-0004-181X","Maitreya","Suin","","Nessuna","Johns Hopkins University",19,1392
242,"0000-0003-1767-6448","Seonyeong","Park","","Nessuna","University of Illinois Urbana-Champaign",8,275
243,"0000-0003-1787-0275","Colin","Gillespie","CTO","Nessuna","Jumping Rivers",31,2828
244,"0000-0001-7569-5319","Catalina","Anghel","Computational Research Scientist","Nessuna","Canadian Nuclear Laboratories",6,239
245,"0000-0002-7390-2094","John","Reid","Assistant Professor","Restoration Ecology, Tropical Forest Restoration, Seed Dispersal, Epiphyte, Restoration Longevity, Bird, Bat, Costa Rica","Virginia Tech",83,34385
246,"0000-0002-0057-8940","Fabrizio","Smeraldi","","Nessuna","Senior Lecturer in AI, Queen Mary, University of London",24,2324
247,"0000-0001-8566-7223","Dario","Bertazioli","","Nessuna","University of Milano-Bicocca",3,158
248,"0000-0002-1226-2150","Chris","de Graaf","VP, Head of Computational Drug Discovery and Data Science","cheminformatics, medicinal chemistry, chemogenomics, bioinformatics, computer-aided drug design","Structure Therapeutics",59,10984
249,"0000-0002-0301-2221","Minji","Jeon","","Computer Science Education, Computational Thinking, Computer-Supported Collaborative Learning","Indiana University",42,5382
250,"0000-0002-4389-8688","Ugo","Becciani","Researcher","Nessuna","INAF - Osservatorio Astrofisico di Catania",35,29988
251,"0000-0002-6472-0221","Florian","Mittag","Professor for Artificial Intelligence in Visual Computing","machine learning, artificial intelligence, semantic web","Hochschule für angewandte Wissenschaften Coburg",12,1133
252,"0000-0003-2988-9678","Luigi","Pedone","Radiologist","Nessuna","IRCCS Istituto Ortopedico Galeazzi",22,2180
253,"0000-0001-7554-9610","Dennis","Wang","","Nessuna","Professor (Chair in Biomedical Data Science), A*STAR & Imperial College London",39,16033
254,"0000-0003-3562-8861","Jiadong","Ji","","Nessuna","Associate Professor, Shandong University",15,883
255,"0000-0003-1860-8666","Fitsum Meshesha","Kifetew","Researcher","software testing, search-based software engineering, software engineering, requirements engineering","Fondazione Bruno Kessler",19,1336
256,"0000-0001-5065-8618","Sondess","MISSAOUI","","Nessuna","Research Associate in Artificial Intelligence, University of York",8,309
257,"0000-0002-3240-2341","FRANCANTONIO","DEVOTO","","Nessuna","Postdoctoral Research Fellow, University of Milano-Bicocca",7,245
258,"0000-0002-7526-8605","Hyeon Ui","Choi","","Nessuna","","",""
259,"0000-0001-5828-4139","Jouni","Sirén","Associate Research Scientist","Nessuna","University of California, Santa Cruz",22,3391
260,"0000-0001-6784-816X","Xiaohui","Xie","","Nessuna","Professor of Computer Science, University of California, Irvine",73,42994
261,"0000-0003-1967-0883","UMBERTO","OLLITTA JUNIOR","","Nessuna","","",""
262,"0000-0002-6293-9668","Pablo","Navarrete Michelini","","Nessuna","Independent Researcher",18,1292
263,"0000-0001-7232-0693","Benjamin","van Wyk de Vries","","Nessuna","Unknown affiliation",46,6118
264,"0000-0002-3924-3961","Francesco","Di Pietto","PHD","Nessuna","Pineta Grande Srl",12,625
265,"0000-0001-7376-2768","Yijian","Zhang","","Nessuna","Central South University",12,388
266,"0009-0007-6430-4969","Iwan","de Kok","Postdoctoral Researcher","Nessuna","Bielefeld University",13,854
267,"0000-0002-3790-1713","Xiaotao","Liang","","Nessuna","","",""
268,"0000-0001-5346-9812","Ronan MT","Fleming","Associate Professor","Nessuna","University of Galway",44,13103
269,"0000-0001-6089-5895","Meera","Mahendiran","","Nessuna","","",""
270,"0000-0002-8395-0452","valeria","blasi","Researcher","borderline intellectual functioning, neuroimaging, brain development, brain tumors","Fondazione Don Carlo Gnocchi",24,2793
271,"0000-0002-8492-6964","Angelo","Corazza","","Nessuna","","",""
272,"0000-0001-9698-7206","Alexander","Belokopytov","researcher","Nessuna","Institute for Information Transmission Problems",5,86
273,"0000-0002-9524-6024","Andrea","Aquino","","Nessuna","Professor of Computer Science, Federal University of Alagoas",19,1899
274,"0000-0002-9528-6018","Gianni","Cesareni","","Nessuna","University of Rome Tor Vergata",87,33889
275,"0000-0001-7456-8764","Miguel","Rocha","","Nessuna","Associate Professor, Dept. Informatics and Centre Biological Engineering, Universidade do Minho",38,7110
276,"0000-0001-6180-0106","Francesco","Marabita","","Nessuna","Karolinska University Hospital",22,4140
277,"0000-0003-0718-8707","Claudio","Feliciani","Project Associate Professor","Nessuna","The University of Tokyo",48,9089
278,"0000-0003-4645-1395","Yong-Guk","Kim","","Nessuna","Prof. Computer Eng., Sejong University",18,1392
279,"0009-0000-3537-1977","Michele","Carbonera","","Nessuna","University of Milano-Bicocca",1,1
280,"0000-0002-1756-2013","adela","sulejmani","","Nessuna","","",""
281,"0000-0002-5100-2263","Vishal","Monga","Associate Professor","Nessuna","Pennsylvania State University",45,11406
282,"0000-0002-7974-4744","ling","shao","","Nessuna","Taizhou University",131,71357
283,"0009-0008-5921-1351","Sara","Manzoni","Junior Researcher","Nessuna","IRCCS Istituto Auxologico Italiano",21,2013
284,"0000-0001-7850-9075","Billur","Engin Balin","Associated Professor","Nessuna","Istanbul University",8,183
285,"0000-0003-3135-1404","Sang Ok","Song","","Nessuna","","",""
286,"0000-0002-9115-1239","Kwanghun","Choi","","Nessuna","Chonnam National University, Gwang-Ju, Republic of Korea",9,236
287,"0000-0003-2439-0608","Davide","Cozzi","","Nessuna","Institute for Plasma Science and Technology, CNR, via Cozzi 53, 20125 Milan, Italy",27,2256
288,"0000-0001-8577-8433","Alberto","ALIPRANDI","Professori a tempo determinato","Nessuna","Universita' di Milano Bicocca",23,2319
289,"0000-0003-0995-8824","Fernanda","Strozzi","","Nessuna","Università Carlo Cattaneo -LIUC",33,5306
290,"0000-0003-3580-1281","Franklin","Djeumou Fomeni","","Nessuna","University of Quebec in Montreal (ESG-UQAM)",9,293
291,"0000-0001-7542-0286","Egon","Willighagen","","statistics, cheminformatics, chemometrics, bioinformatics, chemistry development kit, metabolomics, predictive toxicology, nanoqsar","Maastricht University",49,12141
292,"0000-0001-8384-3019","Fabio","Marchese","Researcher","Nessuna","King Abdullah University of Science and Technology Red Sea Research Center",20,1269
293,"0000-0002-2582-8061","Thomas","Brouwer","","Nessuna","Howard University,Harvard University,Center for Integrated Quantum Materials, Center for Quantum",7,597
294,"0000-0001-7891-8813","Massimiliano","ROSSI","","Nessuna","Department of Industrial Engineering, Alma Mater Studiorum Università di Bologna",27,2705
295,"0000-0002-3254-2571","Elena","Russo","","Nessuna","Researcher, Istituto di Scienze e Tecnologie per l'Energia e la Mobilità Sostenibili - Consiglio",28,2037
296,"0000-0001-5647-2822","Michele","Bevilacqua","PhD Assistant","Nessuna","École Polytechnique Fédérale de Lausanne",15,3076
297,"0009-0005-9399-8387","Tim","Seizinger","","Nessuna","University of Würzburg",5,122
298,"0000-0002-9085-9171","Eric","Mjolsness","Professor","Nessuna","Univesity of California, Irvine",41,13391
299,"0000-0003-0323-5078","intissar","khalifa","","Nessuna","Enseignante chercheuse à ISIMG",2,11
300,"0000-0003-2559-9956","RICCARDO","ROVEDA","","Nessuna","Alten (Italy)",14,892
301,"0000-0001-6979-533X","Santiago","Videla","","Nessuna","PhD Computer Science",7,294
302,"0000-0002-6178-4377","Jie","Li","","Nessuna","waseda university",97,33677
303,"0000-0002-6193-2296","Catharina","Olsen","","Nessuna","Vrije Universiteit Brussel",18,5831
304,"0000-0001-9951-0155","dan dan","zhu","","Nessuna","The University of Hong Kong",44,21975
305,"0000-0002-5860-5358","Lucia","Morello","ASSISTENTE","Nessuna","IRCCS Humanitas Research Hospital",1,82
306,"0000-0002-6055-0384","Jean-Pierre","Sirois-Trahan","","Nessuna","","",""
307,"0000-0002-2907-2062","Neel ","Madhukar","","Nessuna","OneThree Biotech & Weill Cornell Medical College",16,2055
308,"0000-0002-5037-0419","Cong","Leng","","Nessuna","CASIA, AiRiA",17,3054
309,"0000-0001-8857-0064","Youliang","Yan","","corporate finance, corporate governance","huawei",21,3087
310,"0000-0002-5293-5321","Brett","Olivier","","biochemistry, software developer,  simulation, standardisation, data management, systems biology","Vrije Universiteit Amsterdam",30,3886
311,"0000-0002-8464-1889","Umberto Junior","Mele","PhD student","Nessuna","Dalle Molle Institute for Artificial Intelligence Research",5,57
312,"0000-0002-7075-1681","Merit","Cudkowicz","","Nessuna","Professor of Neurology, Harvard Medical School",99,32995
313,"0000-0002-4538-6045","Dong Won","Park","","Nessuna","Hanyang University Hospital",30,3601
314,"0000-0001-8675-9066","Chiara","Monfrini","","Nessuna","Fondazione IRCCS Istituto Nazionale dei Tumori","",""
315,"0000-0002-3162-5148","K","Uma","Professor","Gender and Development Management","Tamil Nadu Agricultural University",57,22703
316,"0000-0002-0600-3371","iman","hajirasouliha","Assistant Professor of Computational Genomics","Nessuna","Weill Cornell Medical College",34,25196
317,"0000-0002-9633-1191","Weihang","Yuan","","Nessuna","Baidu","",""
318,"0000-0003-2257-8658","guangqi","shao","","Nessuna","","",""
319,"0000-0002-9241-5347","Jean-Philippe","Tarel","Researcher","Nessuna","Université Gustave Eiffel",36,9099
