"Unnamed: 0","ORCID ID","Given_Name","Family_Name","Role","Keywords","Organization","H Index","Citations"
600,"0000-0002-2558-2911","Wenwen","Min","Associate Professor","Deep Learning, Machine Learning, Bioinformatics, AI in Computational Biology","Yunnan University",10,596
601,"0000-0002-9067-0918","Hoifung","Poon","","Nessuna","General Manager, Microsoft Health Futures",43,12493
602,"0009-0003-5682-3129","Aziz Ali","Khan","Research Fellow","Food security, rural livelihoods, medicinal and aromatic plants, degradation, Juniper forests,, indigenous knowledge, social resilience,, Yak, pastoralists, snow leopard, Chitral, Badakhshan, Afghanistan, Pamir region, Tajikistan, environmental degradation, climate change, effects and impacts, adaptation,","University of Central Asia Khorog, Tajikistan",24,1711
603,"0000-0002-5458-7404","Sven","Sahle","","Nessuna","Universität Heidelberg",29,10710
604,"0009-0005-5807-6467","jinhui","Tang","","Nessuna","Nanjing University of Science and Technology",85,29098
605,"0000-0002-4263-3143","Fahad Shahbaz","khan","Biträdande universitetslektor","Nessuna","Linkopings universitet",101,50833
606,"0000-0002-3348-6380","Claus","Koestler","","Nessuna","School of Mathematical Sciences, University College Cork",9,322
607,"0000-0001-7130-2637","Sang-Won","Lee","","Nessuna","Professor, Graduate School of Data Science, Seoul National University",26,6270
608,"0000-0001-8501-5348","Azedine","Zoufir","","Nessuna","","",""
609,"0000-0002-5630-7189","luca'","maria","","Nessuna","Faculty of informatics, USI, IDSIA - USI-SUPSI, Artificialy SA, Lugano",77,59372
610,"0000-0003-3713-4283","Pietro","Vinetti","","Nessuna","MBDA Italy",12,675
611,"0009-0009-7176-6242","Georgy","Perevozchikov","Researcher (PhD)","Nessuna","University of Würzburg",2,41
612,"0000-0003-0185-8861","Gary","Bader","Professor","computational biology","University of Toronto",114,89257
613,"0009-0000-5444-625X","Sampada","Malagi","","Nessuna","Researcher @ Center of Excellence in Visual Intelligence, KLE Technological University",7,224
614,"0000-0002-8246-9181","Richard","Lewis","Research Associate","music information retrieval, musicology","Goldsmiths University of London Department of Computing",60,29945
615,"0000-0003-3028-5150","Donatien","Chedom Fotso","","Nessuna","Researcher in Applied Statistical Genomics, University Of Oxford",5,286
616,"0000-0002-8529-1972","Ali ","Ebrahim","","Nessuna","Nursing",235,224168
617,"0000-0001-5525-7418","Sylvain","Soliman","","Computational Biology, Systems Biology, Bioinformatics, Computer Science, Formal Methods, Petri nets","Inria Saclay - Île-de-France Research Centre",25,2883
618,"0000-0001-9819-3952","Kimberley","Hill","","Nessuna","Professor of Anthropology, Arizona State University",76,37634
619,"0000-0003-4848-2304","Ming-Hsuan","Yang","","Nessuna","University of California at Merced; Google DeepMind",162,139310
620,"0000-0002-3075-0932","Raffaele","Giaffreda","","Nessuna","Fondazione Bruno Kessler",22,3443
621,"0000-0001-9811-3975","Shizhuo","Liu","","Nessuna","","",""
622,"0009-0003-2366-8791","Florin Alexandru","Vasluianu","PhD Student","Nessuna","University of Würzburg",12,500
623,"0000-0002-3893-9879","Pierre","Gestraud","","Nessuna","","",""
624,"0000-0001-7348-303X","Junqiang","Dai","","Nessuna","University of Kansas Medical Center",9,500
625,"0000-0002-4053-6657","Frederick","Zhang","","Nessuna","Fred Hutchinson Cancer Research Center",52,11047
626,"0000-0003-3221-6212","Hao","Jiang","","Nessuna","Professor of SMSE, East China University of Science and Technology",87,35973
627,"0000-0002-1134-6619","Xin","Jin","","Nessuna","BGI & SCUT, China",42,35687
628,"0000-0001-7847-5004","Davide","Brinati","Machine Learning Researcher - Data Scientist","Nessuna","IRCCS Istituto Ortopedico Galeazzi",1,403
629,"0000-0002-2465-7141","NATALIA","JURISTO JUZGADO","","Nessuna","Universidad Politécnica de Madrid - Technical University of Madrid","",""
630,"0000-0003-0324-7052","Yudi","Pawitan","Professor","Nessuna","Karolinska Institutet",70,26228
631,"0000-0003-1137-1600","Song song","Wang","","Nessuna","Research Fellow, Institute of Physics, Academia Sinica",81,17410
632,"0000-0002-7398-6873","Haoqiang","Fan","","Nessuna","Megvii",34,7857
633,"0000-0002-9550-779X","Hao-Hsiang","Yang","","Nessuna","Google",18,1284
634,"0000-0002-9818-4316","Jean-Bernard","Salomond","","Nessuna","Université Paris-Est Créteil",6,187
635,"0000-0003-2544-0478","pengyue","zhang","","Nessuna","Uber",25,3462
636,"0000-0002-4823-4530","Lei-Lei","Li","","Nessuna","Xi'an Shiyou University",13,632
637,"0000-0002-3082-3214","Hyeran","Byun","","Nessuna","Yonsei University",35,5725
638,"0000-0002-8781-3615","Eve","Desplats","","Nessuna","","",""
639,"0000-0001-8569-3114","Sunghwan","Cho","","Nessuna","Unknown affiliation",23,2436
640,"0000-0002-7995-520X","Allen","Kim","","Nessuna","Director, Molecular Biology, Allen Institute for Brain Science",16,14372
641,"0000-0002-3097-5621","Marijke","Van Moerbeke","","Nessuna","","",""
642,"0000-0001-5317-2111","Melaine A","Kuenemann","Postdoctoral Research Associate","Nessuna","North Carolina State University","",""
643,"0000-0002-7795-4422","Doaa","Altarawy","","Nessuna","Lead Data Scientist",10,2329
644,"0000-0001-7099-0394","kiseong","kim","","Nessuna","namsang dental clinic",3,210
645,"0000-0002-5394-7324","barış","özcan","M.D. / general surgeon / surgical oncology","Nessuna","Memorial&Medstar Oncology Group /Medstar Antalya Hospital",8,248
646,"0000-0002-4725-9963","Wenyi","Tang","","Nessuna","Sichuan University",7,156
647,"0000-0002-1202-0194","Marina Jeaneth","Machicao Justo","Pósdoutorado","Deep Learning, Data Science, Big Data, Complex Networks, Network Automata","Universidade de São Paulo Escola Politécnica","",""
648,"0000-0002-6454-9065","Chao-chao","Zhang","","Data envelopment analysis","","",""
649,"0000-0003-0998-7561","Joshua","Knight","Research Staff Member","Nessuna","IBM Thomas J Watson Research Center",7,401
650,"0000-0003-1225-0931","Christopher","Lalansingh","","Nessuna","","",""
651,"0000-0002-5193-8782","Francisco J.","Vico","","Nessuna","Professor of Computer Science",17,1334
652,"0000-0002-5077-7518","PAOLO","LAGO","","Nessuna","Professor de Química, Universidade de São Paulo",41,5782
653,"0000-0003-0725-9202","Songhyun","Yu","","Nessuna","Hanyang University",8,603
654,"0000-0002-2824-1215","Filio","Billia","","Nessuna","University of Toronto",37,6997
655,"0000-0002-8799-4495","Tanvir","Alam","eExam Supervisor","Waste-to-Energy,Biomass and Bioenergy, Gasification, Combustion, Ash Slagging,  Waste Management","Monash  University",28,3825
656,"0000-0003-2996-5714","Alice","Gualerzi","","extracellular vesicles, regenerative medicine, Raman spectroscopy, neurological disorders, human anatomy, histology, stroke, rehabilitation","Fondazione Don Carlo Gnocchi",24,12012
657,"0000-0002-6076-7460","Arvi Johannes","Hurskainen","","Nessuna","","",""
658,"0000-0002-2279-5559","vito","chianca","","Nessuna","","",""
659,"0000-0002-0204-1709","Mingwei","Zhang","","Nessuna","Senior Software Engineer, Google",14,1484
660,"0000-0002-9993-7017","Xuelu","Li","","Nessuna","Amazon",10,453
661,"0000-0001-9836-9487","Laura","Danelli","","Nessuna","ASST Bergamo Ovest",13,1048
662,"0000-0001-8210-2163","Elizabeth","Coker","","Nessuna","AstraZeneca, Cambridge",11,911
663,"0000-0002-3108-8311","Dominik","Heider","Diretor","Nessuna","University of Münster",38,4644
664,"0000-0001-6345-6396","hao","wang","","Nessuna","Johns Hopkins University",68,46313
665,"0009-0008-7504-694X","Alessandro","Barbaro","","Nessuna","","",""
666,"0000-0002-6991-0315","Shuilian","Xie","","Nessuna","","",""
667,"0000-0002-6145-2153","Ashley","Wang","","Nessuna","Soochow University, Taiwan",13,601
668,"0000-0002-0660-8389","Tommaso","Pasini","","Nessuna","Bloomberg LP",20,1455
669,"0000-0003-2173-9819","VALENTINA","CRIPPA","","Nessuna","PhD student, University of Milano-Bicocca",5,118
670,"0009-0007-8671-7924","Omar","Elezabi","PhD Student","Nessuna","University of Würzburg",3,31
671,"0000-0002-3597-4310","Roger","Guimera","ICREA Research Professor","Nessuna","Universitat Rovira i Virgili",39,20752
672,"0000-0002-2555-040X","JINHAN","KIM","","Nessuna","Università della Svizzera italiana (USI)",11,731
673,"0000-0003-0299-7206","Cheolkon","Jung","","Nessuna","Born Again Christian, Professor, Xidian University",30,3586
674,"0000-0002-1716-658X","Maurilio Cosimo","BRUNO","consulente","CHIRURGIA DELLA MANO, MICROCHIRURGIA, PLESSO BRACHIALE, NERVI PERIFERICI, PROTESI DI GOMITO","Policlinico di Monza SpA","",""
675,"0000-0001-9311-6755","Pedro","Mendes","","Computer Graphics, Computer Vision, Human-Computer Interaction","University of Connecticut",61,28648
676,"0000-0003-3047-8948","Alfredo","Raglio","","Nessuna","","",""
677,"0000-0002-6514-5265","Riccardo","Bergamin","","Nessuna","","",""
678,"0000-0002-8372-3858","Andrea","Di Rosa","Research Fellow","Archaeology; Arts and Humanities; Social Sciences","University of Haifa",45,7040
679,"0000-0003-2981-043X","Matthias","Klumpp","","Nessuna","Politecnico di Milano, School of Management",29,3844
680,"0000-0002-8221-6694","Stefania","Guida","","Nessuna","Vita-Salute San Raffaele University",22,1547
681,"0000-0003-4392-8725","Livia","Perfetto","Assistant Professor (RTDB)","Nessuna","Universita degli Studi di Roma La Sapienza Dipartimento di Biologia e Biotecnologie Charles Darwin",25,13255
682,"0000-0001-8565-9194","Marin","Lujak","Distinguished Researcher Lecturer","Distributed Computational Optimization, Multi-Agent Systems, Coordination","Universidad Rey Juan Carlos",16,1020
683,"0000-0002-7147-2318","Chia Hsuan","Hsieh","","Nessuna","University of Pittsburgh",8,372
684,"0000-0001-8068-426X","Hamid","Bolouri","","Nessuna","Fred Hutchinson Cancer Research Center",47,17786
685,"0000-0002-3609-1149","michael","yu","","Nessuna","Professor of Neurosience, Albert Eimstein College of Medicine",102,34377
686,"0000-0002-8690-2587","MARCO ERCOLE","VANONI","","Nessuna","","",""
687,"0000-0003-2002-2277","Magali","Michaut","","Nessuna","Københavns Universitet",27,3553
688,"0000-0003-4391-1130","Weng Khong","Lim","Assistant Professor","Nessuna","Duke-NUS Medical School",31,4978
689,"0000-0002-3466-6535","Emre","Guney","","computational biology, network medicine, disease bioinformatics, systems pharmacology","CTO, Head of Discovery and Data Science at STALICLA",26,3618
690,"0000-0002-8824-6165","michael","kozak","","Nessuna","Penn State College of Medicine",4,207
691,"0000-0002-0279-2000","Tian","Ye","","Nessuna","Technical Institute of Physics and Chemistry",59,13537
692,"0000-0002-3759-3116","Jechang","Jeong","","Nessuna","","",""
693,"0000-0003-0845-7227","Matthew","Kirk","Postdoctoral Research Associate","Nessuna","Durham University",22,3343
694,"0000-0002-0550-7498","Luca","Moschella","Dottorandi","Nessuna","Universita` degli Studi di ROMA ""La Sapienza""",7,1368
695,"0000-0002-4929-4850","Umut","Sulubacak","PhD student","Computational linguistics, Language technology, Machine translation, Natural language processing","University of Helsinki","",""
696,"0000-0003-2540-1735","Claudiney","Tinoco","","Swarm Robotics, Swarm Intelligence, Bio-inspired Computing, Evolutionary Computation, Complex Systems, Artificial Intelligence","Federal University of Uberlândia",6,114
697,"0000-0002-0840-1445","Dafeng","Zhang","","Nessuna","Samsung Research China – Beijing (SRC-B)",12,614
698,"0009-0005-7574-4105","Weining","Qin","","Nessuna","","",""
699,"0009-0005-0662-1312","Po-Wei","Wang","","Nessuna","Carnegie Mellon University",12,835
700,"0000-0003-2372-6878","ali","mohebbi","","Nessuna","Professor of Chemical Engineering, Shahid Bahonar University of Kerman",34,3733
701,"0000-0002-3502-6759","Michael","Brown","Principal Chemist","Nessuna","Oncodrug Ltd",233,199036
702,"0000-0003-4383-8711","William","Hlavacek","Scientist","systems biology,  quantitative biology,  rule-based modeling","Los Alamos National Laboratory",47,18916
