,Organization,openalex_id,country,type,homepage_url,works_count,cited_by_count
341,IRCC San Raffaele Hospital,,,,,,
342,Wuhan University,https://openalex.org/I37461747,CN,education,https://www.whu.edu.cn,179476.0,3248202.0
343,Cambrex Profarmaco Milano,,,,,,
344,National Research Centre,https://openalex.org/I4210131959,EG,facility,http://www.nrc.sci.eg/nrc/#.VdrDXrKqqko,37512.0,614593.0
345,Clemson,https://openalex.org/I8078737,US,education,https://www.clemson.edu,64941.0,1601642.0
346,Honam National Institute of Biological Resources (HNIBR),,,,,,
347,Congenica Ltd,,,,,,
348,Istituto Ortopedico Gaetano Pini,https://openalex.org/I4210113750,IT,healthcare,http://www.gpini.it/,3060.0,55511.0
349,Nanyang Technological University,https://openalex.org/I172675005,SG,education,http://www.ntu.edu.sg/Pages/home.aspx,161048.0,5149413.0
350,University of Cambridge,https://openalex.org/I241749,GB,education,https://www.cam.ac.uk,371526.0,16925362.0
351,National Research Institute of Chinese Medicine,https://openalex.org/I4210094085,TW,facility,http://eng.nricm.edu.tw/bin/home.php,1806.0,53959.0
352,University of Colorado,https://openalex.org/I188538660,US,education,http://www.colorado.edu/,142100.0,6424268.0
353,Northeastern University,https://openalex.org/I12912129,US,education,http://www.northeastern.edu/,66868.0,2121731.0
354,Stanford University,https://openalex.org/I97018004,US,education,https://www.stanford.edu,464428.0,27107887.0
355,Universidade do Estado de Mato Grosso,https://openalex.org/I3017928408,BR,education,http://portal.unemat.br/,10070.0,48062.0
356,University of Avignon,,,,,,
357,Southern University of Science and Technology,https://openalex.org/I3045169105,CN,education,https://sustech.edu.cn,41310.0,805563.0
358,Soochow University,https://openalex.org/I3923682,CN,education,https://www.suda.edu.cn,96507.0,1935296.0
359,University of Copenhagen,https://openalex.org/I124055696,DK,education,https://www.ku.dk,215736.0,7941276.0
360,Human Predictions,,,,,,
361,Osaka University,https://openalex.org/I98285908,JP,education,http://www.osaka-u.ac.jp/en,268697.0,6655760.0
362,Stazione Utopia,,,,,,
363,St. Jude Children's Research Hospital,https://openalex.org/I1313298211,US,healthcare,https://www.stjude.org/,32285.0,1908084.0
364,AIgnostics,,,,,,
365,SYSU,https://openalex.org/I4210129003,CN,facility,http://www.sdjri.com/English/,564.0,11741.0
366,Université de Franche-Comté,https://openalex.org/I90843659,FR,education,http://www.univ-fcomte.fr/,17640.0,360189.0
367,Korea Advanced Institute of Science and Technology,https://openalex.org/I157485424,KR,education,https://www.kaist.ac.kr,100677.0,2578739.0
368,Shift Lab,,,,,,
369,The Hospital for Sick Children,,,,,,
370,Cambridge University,https://openalex.org/I241749,GB,education,https://www.cam.ac.uk,371526.0,16925362.0
371,Jiangnan University,https://openalex.org/I111599522,CN,education,https://www.jiangnan.edu.cn,57721.0,957215.0
372,University of California Riverside School of Medicine,,,,,,
373,Okinawa Institute of Science and Technology Graduate University,https://openalex.org/I142637625,JP,education,https://www.oist.jp,7239.0,159779.0
374,University of Milano-Biocca,https://openalex.org/I66752286,IT,education,https://www.unimib.it,56059.0,1524762.0
375,King's College London,https://openalex.org/I183935753,GB,education,http://www.kcl.ac.uk/index.aspx,203099.0,7066286.0
376,Universidad Andina Nestor Caceres Velasquez,,,,,,
377,Megvii Inc.,,,,,,
378,Children's Mercy Hospital,https://openalex.org/I1328594524,US,healthcare,http://www.childrensmercy.org/,12138.0,291015.0
379,University of Valencia,,,,,,
380,Grifols (United States),https://openalex.org/I4210157443,US,company,http://www.grifolsusa.com/en/web/eeuu,214.0,2794.0
381,Ca' Foscari University of Venice,https://openalex.org/I149461666,IT,education,https://www.unive.it,21763.0,308065.0
382,Raytheon BBN Technologies,,,,,,
383,University of Ostrava,https://openalex.org/I187293425,CZ,education,https://www.osu.cz,7777.0,98896.0
384,Michigan State University,https://openalex.org/I87216513,US,education,https://msu.edu/,211393.0,7468891.0
385,Kongju National University,https://openalex.org/I206597221,KR,education,http://english.kongju.ac.kr:8090/,10921.0,150060.0
386,Institut d'Investigació Biomédica de Bellvitge,https://openalex.org/I4210087039,ES,facility,http://www.idibell.cat/,13895.0,496510.0
387,Samsung Research,,,,,,
388,Departamento de Ingeniería Industrial UCSC,https://openalex.org/I172787465,CL,education,https://www.udec.cl/pexterno/,31360.0,585091.0
389,Okinawa Institute of Science and Technology,https://openalex.org/I142637625,JP,education,https://www.oist.jp,7239.0,159779.0
390,Kumoh National Institute of Technology,https://openalex.org/I113409471,KR,education,http://eng.kumoh.ac.kr/,6036.0,96269.0
391,King Mongkut's University of Technology North Bangkok,https://openalex.org/I82828225,TH,education,http://www.kmutnb.ac.th/,10935.0,115467.0
392,Head of the Lab at Institute for Information Transmission Problems RAS,,,,,,
393,INRAE Centre de Jouy-en-Josas,,,,,,
394,Icahn School of Medicine at Mount Sinai,https://openalex.org/I98704320,US,education,https://icahn.mssm.edu,132456.0,5202308.0
395,National Institute of Allergy and Infectious Diseases,https://openalex.org/I4210134534,US,facility,https://www.niaid.nih.gov,37320.0,2695651.0
396,University of Evora,https://openalex.org/I21803372,PT,education,https://www.uevora.pt,14082.0,233966.0
397,Ningbo University of Finance and Economics,,,,,,
398,HZDR (Helmholtz-Zentrum Dresden-Rossendorf),https://openalex.org/I2801798921,DE,facility,https://www.hzdr.de,16578.0,331841.0
399,University of Macedonia,https://openalex.org/I192756129,GR,education,https://www.uom.gr,7335.0,111583.0
400,Janssen Research and Development,,,,,,
